Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM
Precious Achiuwa,Memphis,Amer,Fr,PF/C,31,30.3548,182,369,0.493224932249323,13,40,0.325,169,329,0.514,51.1,112,187,0.599,3.0,7.7742,10.7742,0.9677,1.0968,1.871,2.80649990831095,3.1,15.7742,98.2,81.6111,53.4,50.7,11.4,24.7,7.5,2.0,6.4,18.6,27.2,2.18191,2.94998,5.13189
Steven Adams,Pittsburgh,BE,Fr,C,32,23.4062,100,175,0.571428571428571,0,0,0.0,100,175,0.571,57.1,31,70,0.443,2.8125,3.5312,6.3438,0.625,0.6562,2.0312,1.09379994290539,2.8,7.2188,109.7,86.5013,55.46,40.0,15.3,19.1,5.4,1.9,11.2,16.9,18.0,3.36616,3.72734,7.0935
Ochai Agbaji,Kansas,B12,Sr,Wing G,39,35.0513,258,543,0.475138121546961,103,253,0.407,155,290,0.534,57.0,113,152,0.743,0.8205,4.2308,5.0513,1.5897,0.9231,0.5641,2.05130007674859,1.9,18.7692,114.0,97.9268,59.49,28.0,2.8,12.9,8.7,1.5,1.7,14.5,23.3,6.48245,1.66126,8.14371
Santi Aldama,Loyola MD,Pat,So,PF/C,17,35.0,135,263,0.513307984790874,32,87,0.368,103,176,0.585,57.4,59,86,0.686,1.8235,8.2941,10.1176,2.2941,1.0,1.7059,3.23529997856249,2.2,21.2353,109.0,93.5855,59.4,32.7,6.1,27.9,15.5,1.7,5.6,18.2,29.4,6.02958,1.68206,7.71164
Trey Alexander,Creighton,BE,Jr,Combo G,35,37.2,232,520,0.446153846153846,62,183,0.339,170,337,0.504,50.6,89,108,0.824,0.5143,5.2286,5.7429,4.7143,1.0857,0.4286,2.45709983330624,1.9,17.5714,108.7,100.854,53.82,20.8,1.8,14.6,23.9,1.7,1.0,14.8,26.5,2.7434,1.95042,4.69382
Nickeil Alexander-Walker,Virginia Tech,ACC,So,Scoring PG,34,34.3235,190,401,0.473815461346633,58,155,0.374,132,246,0.537,54.6,112,144,0.778,0.4706,3.6176,4.0882,3.9706,1.8824,0.5294,2.85290009948004,2.7,16.1765,109.8,93.6096,58.59,35.9,1.8,13.1,24.6,3.4,2.3,19.6,26.4,4.23828,3.69834,7.93662
Grayson Allen,Duke,ACC,Sr,Scoring PG,37,35.5676,181,433,0.418013856812933,102,276,0.37,79,157,0.503,53.6,108,127,0.85,0.5405,2.7838,3.3243,4.6486,1.7297,0.0541,2.13509984591006,2.4,15.4595,121.1,101.134,57.97,29.3,1.8,8.0,21.2,2.8,0.2,16.7,20.3,4.61041,2.6848,7.29521
Jarrett Allen,Texas,B12,Fr,C,33,32.1515,179,316,0.566455696202532,0,7,0.0,179,309,0.579,56.6,84,149,0.564,3.0303,5.3939,8.4242,0.7879,0.5758,1.5455,2.54550012826038,2.6,13.3939,101.9,99.0269,57.14,47.2,11.0,18.8,5.5,1.0,5.0,20.1,22.9,2.02048,2.0664,4.08688
Jose Alvarado,Georgia Tech,ACC,Sr,Scoring PG,26,37.1154,141,279,0.505376344086022,46,118,0.39,95,161,0.59,58.8,67,80,0.838,0.7308,2.7308,3.4615,4.1538,2.8077,0.0385,2.0769,2.5,15.1923,117.8,99.6475,62.3,28.7,2.5,9.4,21.0,4.5,0.1,16.1,20.6,4.26696,3.03637,7.30333
Cole Anthony,North Carolina,ACC,Fr,Combo G,22,34.8636,131,345,0.379710144927536,49,141,0.348,82,204,0.402,45.1,96,128,0.75,0.4545,5.2273,5.6818,3.9545,1.3182,0.2727,3.50000003982804,3.3,18.5,97.6,101.245,50.15,37.1,1.4,16.4,23.9,2.1,0.9,19.6,29.0,2.96994,1.36291,4.33284
OG Anunoby,Indiana,B10,So,Wing F,16,25.125,68,122,0.557377049180328,14,45,0.311,54,77,0.701,61.5,27,48,0.563,1.75,3.6875,5.4375,1.4375,1.3125,1.3125,1.62500000847826,3.3,11.0625,115.6,98.5464,61.12,39.3,8.5,16.1,11.0,3.0,5.5,18.0,20.5,4.72671,3.08224,7.80894
