Name,Team,League,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,Est_Poss,USG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,ORTG,DRTG,OBPM,DBPM,BPM,PER ,OWS,DWS,WS,WS/40
Deni Avdija,Maccabi Tel Aviv,EuroLeague,eu,26,412.222,4.444,10.111,0.436,1.444,5.111,0.277,3.0,5.111,0.596,1.111,1.889,0.556,1.667,5.667,7.333,3.222,1.111,0.667,2.0,5.556,11.333,0.518,0.505,0.187,12.942,45.35,14.6,33.094,25.696,87.879,3.893,12.012,87.569,103.8,0.445,2.081,2.526,11.108,-0.038,1.119,1.081,0.105
Giannis Antetokounmpo,Greece,FIBA,0,5,138.889,7.667,14.667,0.522,0.667,2.889,0.222,7.0,11.889,0.595,7.667,10.889,0.706,1.556,12.444,14.111,3.889,3.889,1.0,4.111,5.778,23.667,0.608,0.197,0.742,23.569,47.138,7.778,41.481,28.222,69.444,7.778,13.158,100.415,96.367,1.49,4.552,6.042,16.96,0.051,0.592,0.643,0.185
Thanasis Antetokounmpo,Greece,FIBA,0,5,68.889,7.778,14.222,0.545,1.889,5.111,0.375,5.778,9.0,0.643,1.889,3.889,0.5,1.889,2.556,4.556,3.222,1.333,1.333,2.556,9.0,19.333,0.607,0.359,0.273,18.489,74.552,19.041,17.174,18.369,56.863,5.376,18.018,104.567,103.767,1.315,1.207,2.522,18.177,0.071,0.306,0.376,0.219
LaMelo Ball,Hawks,NBL,au,12,416.667,8.0,21.333,0.375,2.111,8.556,0.25,5.889,12.778,0.458,3.667,5.0,0.723,2.444,7.222,9.667,8.778,2.0,0.111,3.222,3.333,21.778,0.463,0.401,0.234,26.756,42.809,9.778,19.259,15.467,151.341,3.2,1.048,81.395,101.467,2.277,1.285,3.562,11.76,-0.146,1.147,1.002,0.096
Nicolas Batum,Le Mans,LNB Pro A,fr,30,960.0,6.222,11.889,0.523,1.444,4.111,0.348,4.778,7.778,0.617,3.222,4.333,0.753,2.222,4.778,7.0,5.0,1.889,1.111,3.333,2.333,17.111,0.62,0.346,0.364,17.129,29.738,9.645,13.825,12.153,105.634,3.279,17.498,99.896,99.444,1.019,1.184,2.202,10.688,0.034,2.55,2.584,0.108
Joan Beringer,Cedevita Olimpija,ABA,0,30,608.889,4.333,7.333,0.594,0.0,0.0,0.0,4.333,7.333,0.594,2.0,3.333,0.6,2.889,6.111,9.0,1.222,1.111,3.222,1.333,5.222,10.778,0.612,0.0,0.455,10.133,27.737,19.769,27.879,24.635,33.951,3.041,74.935,106.36,99.033,-0.503,2.686,2.183,10.969,0.046,1.739,1.785,0.117
Goga Bitadze,Budućnost,EuroLeague,eu,13,350.0,6.444,11.778,0.548,0.667,2.0,0.313,5.889,9.778,0.597,6.333,8.889,0.714,4.222,6.333,10.556,1.889,0.778,3.778,2.333,6.0,19.889,0.634,0.17,0.755,18.022,37.189,21.781,21.781,21.781,38.813,1.605,59.965,110.358,99.256,0.998,2.22,3.218,12.286,0.111,1.103,1.213,0.139
Bismack Biyombo,Fuenlabrada,Liga ACB,es,14,265.556,5.333,9.667,0.552,0.0,0.0,0.0,5.333,9.667,0.552,4.333,7.889,0.553,4.556,7.333,11.889,0.667,0.889,5.333,4.0,4.667,15.111,0.575,0.0,0.816,17.138,50.194,33.357,35.797,34.821,15.873,2.603,99.688,88.174,95.511,-0.453,4.03,3.577,12.485,-0.047,0.975,0.928,0.14
Bogdan Bogdanović,Partizan,Euroleague,eu,23,802.222,6.556,16.444,0.401,2.778,7.444,0.37,3.778,9.0,0.426,2.889,3.778,0.754,0.889,3.778,4.667,4.667,2.0,0.222,4.333,3.333,18.889,0.522,0.453,0.23,22.44,35.742,3.54,10.029,7.433,94.595,3.186,2.646,84.175,101.267,1.206,0.591,1.797,10.573,-0.097,2.117,2.02,0.101
Clint Capela,Élan,LNB Pro A,fr,30,723.333,7.778,11.778,0.665,0.0,0.111,0.0,7.778,11.667,0.668,2.556,4.444,0.575,4.667,8.889,13.556,2.222,1.222,3.111,2.778,4.0,18.222,0.663,0.009,0.377,16.511,38.044,26.882,34.136,31.234,39.216,2.816,49.383,110.363,98.344,0.459,3.209,3.667,11.23,0.101,2.025,2.126,0.118
