,PLAYER_ID,PLAYER_NAME,SCHOOL
0,1630173,Precious Achiuwa,Memphis
1,203500,Steven Adams,Pittsburgh
2,1628389,Bam Adebayo,Kentucky
3,1630534,Ochai Agbaji,Kansas
4,1630583,Santi Aldama,Loyola-Maryland
5,1641725,Trey Alexander,Creighton
6,1629638,Nickeil Alexander-Walker,Virginia Tech
7,1628960,Grayson Allen,Duke
8,1628386,Jarrett Allen,Texas
9,1630631,Jose Alvarado,Georgia Tech
10,203937,Kyle Anderson,UCLA
11,1630828,Alex Antetokounmpo,                                   
12,203507,Giannis Antetokounmpo,Filathlitikos
13,203648,Thanasis Antetokounmpo,Panathinaikos
14,1630175,Cole Anthony,North Carolina
15,1628384,OG Anunoby,Indiana
16,1630166,Deni Avdija,Maccabi Tel Aviv
17,1629028,Deandre Ayton,Arizona
18,1628963,Marvin Bagley III,Duke
19,1642846,Ace Bailey,Rutgers
20,1630163,LaMelo Ball,Illawarra
21,1628366,Lonzo Ball,UCLA
22,1631094,Paolo Banchero,Duke
23,1630217,Desmond Bane,TCU
24,1631230,Dominick Barlow,Overtime Elite
25,203084,Harrison Barnes,North Carolina
26,1630567,Scottie Barnes,Florida State
27,1642964,Brooks Barnhizer,Northwestern
28,1629628,RJ Barrett,Duke
29,1629646,Charles Bassey,Western Kentucky
30,,,Missouri
31,1642419,Jamison Battle,Ohio State
32,201587,Nicolas Batum,Le Mans
33,203078,Bradley Beal,Florida
34,1642866,Joan Beringer,
35,1630180,Saddiq Bey,Villanova
36,1629048,Goga Bitadze,Mega Basket
37,202687,Bismack Biyombo,Baloncesto Fuenlabrada
38,1641710,Anthony Black,Arkansas
39,203992,Bogdan Bogdanović,Fenerbahce
40,1641737,Adem Bona,UCLA
41,1626164,Devin Booker,Kentucky
42,1628449,Chris Boucher,Oregon
43,1628396,Tony Bradley,North Carolina
44,1631103,Malaki Branham,Ohio State
45,1631128,Christian Braun,Kansas
46,1642886,Koby Brea,Kentucky
47,1628969,Mikal Bridges,Villanova
48,1628970,Miles Bridges,Michigan State
49,1628415,Dillon Brooks,Oregon
50,1641780,Johni Broome,Auburn
51,1628971,Bruce Brown,Miami
52,1627759,Jaylen Brown,California
53,1641738,Kobe Brown,Missouri
54,1628973,Jalen Brunson,Villanova
55,1642868,Carter Bryant,Arizona
56,1628418,Thomas Bryant,Indiana
57,202710,Jimmy Butler III,Marquette
58,1641824,Matas Buzelis,NBA G League Ignite
59,1631288,Jamal Cain,Oakland
60,203484,Kentavious Caldwell-Pope,Georgia
61,1641739,Toumani Camara,Dayton
62,203991,Clint Capela,Elan Chalon
63,1642928,Dylan Cardwell,Auburn
64,1642382,Branden Carlson,Utah
65,1642267,Bub Carrington,Pittsburgh
66,1642269,Devin Carter,Providence
67,1628975,Jevon Carter,West Virginia
68,1628976,Wendell Carter Jr.,Duke
69,1627936,Alex Caruso,Texas A&M
70,1642264,Stephon Castle,Connecticut
71,1630658,Colin Castleton,Florida
72,1630577,Julian Champagnie,St. John's
73,1630551,Justin Champagnie,Pittsburgh
74,1642353,Cam Christie,Minnesota
75,1631108,Max Christie,Michigan State
76,1630619,Moussa Cisse,Memphis
77,1631321,Sidy Cissoko,NBA G League Ignite
78,1641740,Jaylen Clark,UCLA
79,1629634,Brandon Clarke,Gonzaga
80,203903,Jordan Clarkson,Missouri
81,1629651,Nic Claxton,Georgia
82,1642383,Walter Clayton Jr.,Florida
83,1642363,Nique Clifford,Colorado State
84,1642270,Donovan Clingan,Connecticut
85,1641730,Noah Clowney,Alabama
86,1629599,Amir Coffey,Minnesota
87,1642268,Isaiah Collier,Southern California
88,1628381,John Collins,Wake Forest
89,1628380,Zach Collins,Gonzaga
90,201144,Mike Conley,Ohio State
91,1626192,Pat Connaughton,Notre Dame
92,1631451,Javonte Cooke,Winston-Salem
93,1630536,Sharife Cooper,Auburn
94,1641731,Bilal Coulibaly,Metropolitans 92
95,1642907,Cedric Coward,Washington State
96,1642384,Isaiah Crawford,Louisiana Tech
97,1630595,Cade Cunningham,Oklahoma State
98,201939,Stephen Curry,Davidson
99,1642359,Pacôme Dadiet,Ratiopharm Ulm
100,1630700,Dyson Daniels,NBA G League Ignite
101,1642368,N'Faly Dante,Oregon
102,203076,Anthony Davis,Kentucky
103,1631120,JD Davison,Alabama
104,201942,DeMar DeRozan,Southern California
105,1642484,RayJ Dennis,Baylor
106,1628978,Donte DiVincenzo,Villanova
107,1631217,Moussa Diabaté,Michigan
108,1642885,Mohamed Diawara,
109,1641711,Gradey Dick,Kansas
110,1630621,Hunter Dickinson,Kansas
111,1631172,Ousmane Dieng,New Zealand Breakers
112,1642265,Rob Dillingham,Kentucky
113,1629029,Luka Dončić,Real Madrid
114,1629652,Luguentz Dort,Arizona State
115,1630245,Ayo Dosunmu,Illinois
116,203083,Andre Drummond,Connecticut
117,1627739,Kris Dunn,Providence
118,1642346,Ryan Dunn,Virginia
119,201142,Kevin Durant,Texas
120,1631105,Jalen Duren,Memphis
121,1642856,Egor Dëmin,Brigham Young
122,1631106,Tari Eason,Louisiana State
123,1641744,Zach Edey,Purdue
124,1642845,VJ Edgecombe,Baylor
125,1630162,Anthony Edwards,Georgia
126,1642348,Justin Edwards,Kentucky
127,1631165,Keon Ellis,Alabama
128,203954,Joel Embiid,Kansas
129,1642855,Noa Essengue,
130,1630623,Tyson Etienne,Wichita State
131,1629234,Drew Eubanks,Oregon State
132,1641787,Tosan Evbuomwan,Princeton
133,203957,Dante Exum,Australian Institute of Sport
134,1642847,Jeremiah Fears,Oklahoma
135,1642271,Kyle Filipowski,Duke
