,PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB,PIE,ALL_STAR_APPEARANCES
0,1630173,Precious Achiuwa,2025-26,10.1,1.4,6.7,0.0,
1,203500,Steven Adams,2025-26,5.8,1.5,8.6,0.0,
2,1628389,Bam Adebayo,2025-26,20.1,3.2,10.0,0.0,
3,1630534,Ochai Agbaji,2025-26,5.1,0.8,2.3,0.0,
4,1630583,Santi Aldama,2025-26,14.0,2.9,6.7,0.0,
5,1641725,Trey Alexander,2025-26,5.2,1.0,1.2,0.0,
6,1629638,Nickeil Alexander-Walker,2025-26,20.8,3.7,3.4,0.0,
7,1628960,Grayson Allen,2025-26,16.5,3.8,3.0,0.0,
8,1628386,Jarrett Allen,2025-26,15.4,1.8,8.5,0.0,
9,1630631,Jose Alvarado,2025-26,7.4,3.4,2.5,0.0,
10,203937,Kyle Anderson,2025-26,6.2,2.9,3.5,0.0,
11,1630828,Alex Antetokounmpo,2025-26,3.2,0.2,1.0,0.0,
12,203507,Giannis Antetokounmpo,2025-26,27.6,5.4,9.8,0.0,
13,203648,Thanasis Antetokounmpo,2025-26,1.4,0.4,0.9,0.0,
14,1630175,Cole Anthony,2025-26,6.7,3.5,2.5,0.0,
15,1628384,OG Anunoby,2025-26,16.7,2.2,5.2,0.0,
16,1630166,Deni Avdija,2025-26,24.2,6.7,6.9,0.0,
17,1629028,Deandre Ayton,2025-26,12.5,0.8,8.0,0.0,
18,1628963,Marvin Bagley III,2025-26,10.5,1.4,6.1,0.0,
19,1642846,Ace Bailey,2025-26,13.8,1.8,4.2,0.0,
20,1630163,LaMelo Ball,2025-26,20.1,7.1,4.8,0.0,
21,1628366,Lonzo Ball,2025-26,4.6,3.9,4.0,0.0,
22,1631094,Paolo Banchero,2025-26,22.2,5.2,8.4,0.0,
23,1630217,Desmond Bane,2025-26,20.1,4.1,4.1,0.0,
24,1631230,Dominick Barlow,2025-26,7.7,1.2,4.8,0.0,
25,203084,Harrison Barnes,2025-26,9.9,1.9,2.8,0.0,
26,1630567,Scottie Barnes,2025-26,18.1,5.9,7.5,0.0,
27,1642964,Brooks Barnhizer,2025-26,1.7,0.6,2.0,0.0,
28,1629628,RJ Barrett,2025-26,19.3,3.3,5.3,0.0,
29,1629646,Charles Bassey,2025-26,5.8,0.5,4.4,0.0,
