Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM
Precious Achiuwa,Memphis,Amer,FR,C,31,941,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,3.1,15.8,98.2,81.6,0.534,0.507,11.4,24.7,7.5,2.0,6.4,18.6,27.2,2.2,2.9,5.1
Steven Adams,Pittsburgh,BE,FR,C,32,749,3.1,5.5,0.571,0.0,0.0,0.0,3.1,5.5,0.571,0.571,1.0,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,2.8,7.2,109.7,86.5,0.555,0.4,15.3,19.1,5.4,1.9,11.2,16.9,18.0,3.4,3.7,7.1
Ochai Agbaji,Kansas,B12,SR,F,39,1367,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.57,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.9,18.8,114.0,97.9,0.595,0.28,2.8,12.9,8.7,1.5,1.7,14.5,23.3,6.5,1.7,8.1
Santi Aldama,Loyola MD,Pat,SO,C,17,595,7.9,15.5,0.513,1.9,5.1,0.368,6.1,10.4,0.585,0.574,3.5,5.1,0.686,1.8,8.3,10.1,2.3,1.0,1.7,3.2,2.2,21.2,109.0,93.6,0.594,0.327,6.1,27.9,15.5,1.7,5.6,18.2,29.4,6.0,1.7,7.7
Trey Alexander,Creighton,BE,JR,G,35,1302,6.6,14.9,0.446,1.8,5.2,0.339,4.9,9.6,0.504,0.506,2.5,3.1,0.824,0.5,5.2,5.7,4.7,1.1,0.4,2.5,1.9,17.6,108.7,100.9,0.538,0.208,1.8,14.6,23.9,1.7,1.0,14.8,26.5,2.7,2.0,4.7
Nickeil Alexander-Walker,Virginia Tech,ACC,SO,G,34,1167,5.6,11.8,0.474,1.7,4.6,0.374,3.9,7.2,0.537,0.546,3.3,4.2,0.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.7,16.2,109.8,93.6,0.586,0.359,1.8,13.1,24.6,3.4,2.3,19.6,26.4,4.2,3.7,7.9
Grayson Allen,Duke,ACC,SR,G,37,1316,4.9,11.7,0.418,2.8,7.5,0.37,2.1,4.2,0.503,0.536,2.9,3.4,0.85,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.4,15.5,121.1,101.1,0.58,0.293,1.8,8.0,21.2,2.8,0.2,16.7,20.3,4.6,2.7,7.3
Jarrett Allen,Texas,B12,FR,C,33,1061,5.4,9.6,0.566,0.0,0.2,0.0,5.4,9.4,0.579,0.566,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.6,13.4,101.9,99.0,0.571,0.472,11.0,18.8,5.5,1.0,5.0,20.1,22.9,2.0,2.1,4.1
Jose Alvarado,Georgia Tech,ACC,SR,G,26,965,5.4,10.7,0.505,1.8,4.5,0.39,3.7,6.2,0.59,0.588,2.6,3.1,0.838,0.7,2.7,3.5,4.2,2.8,0.0,2.1,2.5,15.2,117.8,99.6,0.623,0.287,2.5,9.4,21.0,4.5,0.1,16.1,20.6,4.3,3.0,7.3
Cole Anthony,North Carolina,ACC,FR,G,22,767,6.0,15.7,0.38,2.2,6.4,0.348,3.7,9.3,0.402,0.451,4.4,5.8,0.75,0.5,5.2,5.7,4.0,1.3,0.3,3.5,3.3,18.5,97.6,101.2,0.501,0.371,1.4,16.4,23.9,2.1,0.9,19.6,29.0,3.0,1.4,4.3
